"File","Line","Content","ViolationType","ControlReference","Rule","Description","Suggestion"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Components\DesignSystemComponent_v2.yaml","358","Text: =""Color Palette""","UnquotedControlWithSpecialChars","Color Palette","7.1","Control name with special characters must be wrapped in single quotes","Use 'Color Palette' instead of Color Palette"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Components\DesignSystemComponent_v2.yaml","426","Text: =""Typography Scale""","UnquotedControlWithSpecialChars","Typography Scale","7.1","Control name with special characters must be wrapped in single quotes","Use 'Typography Scale' instead of Typography Scale"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Components\DesignSystemComponent_v2.yaml","474","Text: =""Heading XL - "" & DesignSystemComponent_v2.FontSizeXL & ""px""","UnquotedControlWithSpecialChars","Heading XL","7.1","Control name with special characters must be wrapped in single quotes","Use 'Heading XL' instead of Heading XL"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Components\DesignSystemComponent_v2.yaml","487","Text: =""Text Large - "" & DesignSystemComponent_v2.FontSizeLG & ""px""","UnquotedControlWithSpecialChars","Text Large","7.1","Control name with special characters must be wrapped in single quotes","Use 'Text Large' instead of Text Large"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Components\DesignSystemComponent_v2.yaml","499","Text: =""Text Base - "" & DesignSystemComponent_v2.FontSizeBase & ""px""","UnquotedControlWithSpecialChars","Text Base","7.1","Control name with special characters must be wrapped in single quotes","Use 'Text Base' instead of Text Base"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Components\DesignSystemComponent_v2.yaml","511","Text: =""Text Small - "" & DesignSystemComponent_v2.FontSizeSM & ""px""","UnquotedControlWithSpecialChars","Text Small","7.1","Control name with special characters must be wrapped in single quotes","Use 'Text Small' instead of Text Small"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Components\DesignSystemComponent_v2.yaml","523","Text: =""Text Extra Small - "" & DesignSystemComponent_v2.FontSizeXS & ""px""","UnquotedControlWithSpecialChars","Text Extra","7.1","Control name with special characters must be wrapped in single quotes","Use 'Text Extra' instead of Text Extra"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Components\HeaderComponent_v2.yaml","31","Default: =""Leave Management System""","UnquotedControlWithSpecialChars","Leave Management","7.1","Control name with special characters must be wrapped in single quotes","Use 'Leave Management' instead of Leave Management"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Components\HeaderComponent_v2.yaml","159","Text: =If('Header.DesignSystem'.IsMobile, ""Leave App"", HeaderComponent_v2.Title)","UnquotedControlWithSpecialChars","Leave App","7.1","Control name with special characters must be wrapped in single quotes","Use 'Leave App' instead of Leave App"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Components\EnhancedCardComponent.yaml","10","Default: =""Card Title""","UnquotedControlWithSpecialChars","Card Title","7.1","Control name with special characters must be wrapped in single quotes","Use 'Card Title' instead of Card Title"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Components\EnhancedCardComponent.yaml","24","Default: =""Card content goes here...""","UnquotedControlWithSpecialChars","Card content","7.1","Control name with special characters must be wrapped in single quotes","Use 'Card content' instead of Card content"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Components\EnhancedCardComponent.yaml","24","Default: =""Card content goes here...""","UnquotedControlWithSpecialChars","goes here","7.1","Control name with special characters must be wrapped in single quotes","Use 'goes here' instead of goes here"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Components\EnhancedCardComponent.yaml","272","Text: =""Xem chi tiết""","UnquotedControlWithSpecialChars","Xem chi","7.1","Control name with special characters must be wrapped in single quotes","Use 'Xem chi' instead of Xem chi"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\ApprovalScreen.yaml","374","Text: =If(varIsProcessing And varApprovalAction = ""Approve"", ""膼ang x峄?l媒..."", ""鉁?Ph锚 duy峄噒"")","UnquotedControlWithSpecialChars","varIsProcessing And","7.1","Control name with special characters must be wrapped in single quotes","Use 'varIsProcessing And' instead of varIsProcessing And"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\ApprovalScreen.yaml","391","Text: =If(varIsProcessing And varApprovalAction = ""Reject"", ""膼ang x峄?l媒..."", ""鉂?T峄?ch峄慽"")","UnquotedControlWithSpecialChars","varIsProcessing And","7.1","Control name with special characters must be wrapped in single quotes","Use 'varIsProcessing And' instead of varIsProcessing And"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\ApprovalScreen.yaml","460","Text: =""馃搵 Ch峄峮 膽啤n ngh峄?ph茅p"" & Char(10) & Char(10) & ""Vui l貌ng ch峄峮 m峄檛 膽啤n ngh峄?ph茅p t峄?danh s谩ch b锚n tr谩i 膽峄?xem chi ti岷縯 v脿 th峄眂 hi峄噉 ph锚 duy峄噒.""","UnquotedControlWithSpecialChars","xem chi","7.1","Control name with special characters must be wrapped in single quotes","Use 'xem chi' instead of xem chi"
